,Number of data used,Monte_Carlo_Run,Iteration,Num_Experiments,Target_Measurements,Target_IterBest,Target_CumBest,Initial_Data,trial_index,arm_name,trial_status,generation_method,Objective,B,Sc,Cr,Y,Zr,Gd,Hf,Ta,W,Re,Function
79,0_bb,3,19.0,20,[164.58001172560898],164.58001172560898,172.9382536276803,,,,,,,,,,,,,,,,,
80,0_bb,4,0.0,1,[142.37274889861231],142.37274889861231,142.37274889861231,,,,,,,,,,,,,,,,,
81,0_bb,4,1.0,2,[172.10145777143768],172.10145777143768,172.10145777143768,,,,,,,,,,,,,,,,,
82,0_bb,4,2.0,3,[164.95783085754786],164.95783085754786,172.10145777143768,,,,,,,,,,,,,,,,,
83,0_bb,4,3.0,4,[162.45242842752012],162.45242842752012,172.10145777143768,,,,,,,,,,,,,,,,,
84,0_bb,4,4.0,5,[125.55785596126495],125.55785596126495,172.10145777143768,,,,,,,,,,,,,,,,,
85,0_bb,4,5.0,6,[151.04621599946466],151.04621599946466,172.10145777143768,,,,,,,,,,,,,,,,,
86,0_bb,4,6.0,7,[106.22927448999997],106.22927448999997,172.10145777143768,,,,,,,,,,,,,,,,,
87,0_bb,4,7.0,8,[156.29592045921626],156.29592045921626,172.10145777143768,,,,,,,,,,,,,,,,,
88,0_bb,4,8.0,9,[144.96028373864337],144.96028373864337,172.10145777143768,,,,,,,,,,,,,,,,,
89,0_bb,4,9.0,10,[163.68216005041552],163.68216005041552,172.10145777143768,,,,,,,,,,,,,,,,,
90,0_bb,4,10.0,11,[166.22193370353094],166.22193370353094,172.10145777143768,,,,,,,,,,,,,,,,,
91,0_bb,4,11.0,12,[164.58001172560898],164.58001172560898,172.10145777143768,,,,,,,,,,,,,,,,,
92,0_bb,4,12.0,13,[147.49402922192442],147.49402922192442,172.10145777143768,,,,,,,,,,,,,,,,,
93,0_bb,4,13.0,14,[157.3709982220219],157.3709982220219,172.10145777143768,,,,,,,,,,,,,,,,,
94,0_bb,4,14.0,15,[172.9382536276803],172.9382536276803,172.9382536276803,,,,,,,,,,,,,,,,,
95,0_bb,4,15.0,16,[153.76270622403183],153.76270622403183,172.9382536276803,,,,,,,,,,,,,,,,,
96,0_bb,4,16.0,17,[158.10035989792027],158.10035989792027,172.9382536276803,,,,,,,,,,,,,,,,,
97,0_bb,4,17.0,18,[146.76694916719543],146.76694916719543,172.9382536276803,,,,,,,,,,,,,,,,,
98,0_bb,4,18.0,19,[158.1333799161532],158.1333799161532,172.9382536276803,,,,,,,,,,,,,,,,,
99,0_bb,4,19.0,20,[162.45475186999536],162.45475186999536,172.9382536276803,,,,,,,,,,,,,,,,,
0,noTask_bb_bb,0,0.0,1,[158.10035989792027],158.10035989792027,158.10035989792027,,,,,,,,,,,,,,,,,
1,noTask_bb_bb,0,1.0,2,[125.78672619143359],125.78672619143359,158.10035989792027,,,,,,,,,,,,,,,,,
2,noTask_bb_bb,0,2.0,3,[144.96028373864337],144.96028373864337,158.10035989792027,,,,,,,,,,,,,,,,,
3,noTask_bb_bb,0,3.0,4,[146.76694916719543],146.76694916719543,158.10035989792027,,,,,,,,,,,,,,,,,
4,noTask_bb_bb,0,4.0,5,[153.76270622403183],153.76270622403183,158.10035989792027,,,,,,,,,,,,,,,,,
5,noTask_bb_bb,0,5.0,6,[120.14447039437856],120.14447039437856,158.10035989792027,,,,,,,,,,,,,,,,,
6,noTask_bb_bb,0,6.0,7,[162.45475186999536],162.45475186999536,162.45475186999536,,,,,,,,,,,,,,,,,
7,noTask_bb_bb,0,7.0,8,[151.04621599946466],151.04621599946466,162.45475186999536,,,,,,,,,,,,,,,,,
8,noTask_bb_bb,0,8.0,9,[135.00685581032218],135.00685581032218,162.45475186999536,,,,,,,,,,,,,,,,,
9,noTask_bb_bb,0,9.0,10,[148.9973261341777],148.9973261341777,162.45475186999536,,,,,,,,,,,,,,,,,
10,noTask_bb_bb,0,10.0,11,[121.92929330241844],121.92929330241844,162.45475186999536,,,,,,,,,,,,,,,,,
11,noTask_bb_bb,0,11.0,12,[119.10061804970184],119.10061804970184,162.45475186999536,,,,,,,,,,,,,,,,,
12,noTask_bb_bb,0,12.0,13,[172.10145777143768],172.10145777143768,172.10145777143768,,,,,,,,,,,,,,,,,
13,noTask_bb_bb,0,13.0,14,[164.95783085754786],164.95783085754786,172.10145777143768,,,,,,,,,,,,,,,,,
14,noTask_bb_bb,0,14.0,15,[158.1333799161532],158.1333799161532,172.10145777143768,,,,,,,,,,,,,,,,,
15,noTask_bb_bb,0,15.0,16,[141.23533652070077],141.23533652070077,172.10145777143768,,,,,,,,,,,,,,,,,
16,noTask_bb_bb,0,16.0,17,[150.35400489203658],150.35400489203658,172.10145777143768,,,,,,,,,,,,,,,,,
17,noTask_bb_bb,0,17.0,18,[157.3709982220219],157.3709982220219,172.10145777143768,,,,,,,,,,,,,,,,,
18,noTask_bb_bb,0,18.0,19,[156.29592045921626],156.29592045921626,172.10145777143768,,,,,,,,,,,,,,,,,
19,noTask_bb_bb,0,19.0,20,[152.22068911320298],152.22068911320298,172.10145777143768,,,,,,,,,,,,,,,,,
20,noTask_bb_bb,1,0.0,1,[146.36334018327767],146.36334018327767,146.36334018327767,,,,,,,,,,,,,,,,,
21,noTask_bb_bb,1,1.0,2,[125.78672619143359],125.78672619143359,146.36334018327767,,,,,,,,,,,,,,,,,
22,noTask_bb_bb,1,2.0,3,[143.50927187424523],143.50927187424523,146.36334018327767,,,,,,,,,,,,,,,,,
23,noTask_bb_bb,1,3.0,4,[145.51819311471445],145.51819311471445,146.36334018327767,,,,,,,,,,,,,,,,,
24,noTask_bb_bb,1,4.0,5,[149.34474941658686],149.34474941658686,149.34474941658686,,,,,,,,,,,,,,,,,
25,noTask_bb_bb,1,5.0,6,[121.92929330241844],121.92929330241844,149.34474941658686,,,,,,,,,,,,,,,,,
26,noTask_bb_bb,1,6.0,7,[140.94417997843442],140.94417997843442,149.34474941658686,,,,,,,,,,,,,,,,,
27,noTask_bb_bb,1,7.0,8,[152.22068911320298],152.22068911320298,152.22068911320298,,,,,,,,,,,,,,,,,
28,noTask_bb_bb,1,8.0,9,[157.3709982220219],157.3709982220219,157.3709982220219,,,,,,,,,,,,,,,,,
29,noTask_bb_bb,1,9.0,10,[144.96028373864337],144.96028373864337,157.3709982220219,,,,,,,,,,,,,,,,,
30,noTask_bb_bb,1,10.0,11,[148.9973261341777],148.9973261341777,157.3709982220219,,,,,,,,,,,,,,,,,
31,noTask_bb_bb,1,11.0,12,[139.34604170468722],139.34604170468722,157.3709982220219,,,,,,,,,,,,,,,,,
